idiom,label,count
"cmp [rbp+var_468], 5  | * | movsxd rax, [rbp+var_468] ",xcode,1
"jge loc_10000152D  | * | lea rax, [rax+rax*2] ",xcode,1
"movsxd rax, [rbp+var_468]  | * | lea rcx, __ZL4cons  ",xcode,1
"lea rax, [rax+rax*2]  | * | lea rsi, [rcx+rax*8] ",xcode,2
"lea rcx, __ZL4cons   | * | lea rdi, [rbp+var_480] ",xcode,1
"lea rsi, [rcx+rax*8]  | * | mov [rbp+var_4D8], rcx ",xcode,1
"lea rdi, [rbp+var_480]  | * | call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEC1ERKS5_  ",xcode,1
"mov [rbp+var_4D8], rcx  | * | mov edx, [rbp+var_468] ",xcode,1
"call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEC1ERKS5_   | * | add edx, 5 ",xcode,1
"mov edx, [rbp+var_468]  | * | movsxd rax, edx ",xcode,1
"add edx, 5  | * | lea rax, [rax+rax*2] ",xcode,1
"movsxd rax, edx  | * | mov rcx, [rbp+var_4D8] ",xcode,1
"mov rcx, [rbp+var_4D8]  | * | lea rdi, [rbp+var_498] ",xcode,1
"lea rsi, [rcx+rax*8]  | * | call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEC1ERKS5_  ",xcode,1
"lea rdi, [rbp+var_498]  | * | jmp $+5 ",xcode,2
call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEC1ERKS5_   | * | loc_100000FD4:  ,xcode,1
"jmp $+5  | * | mov [rbp+var_4A8], 0 ",xcode,1
loc_100000FD4:   | * | loc_100000FDE:  ,xcode,1
"mov [rbp+var_4A8], 0  | * | lea rax, [rbp+var_480] ",xcode,1
"loc_100000FDE:   | * | mov ecx, [rbp+var_4A8] ",xcode,1
"lea rax, [rbp+var_480]  | * | mov [rbp+var_460], rax ",xcode,1
"mov ecx, [rbp+var_4A8]  | * | mov rax, [rbp+var_460] ",xcode,1
"mov [rbp+var_460], rax  | * | mov [rbp+var_458], rax ",xcode,1
"mov rax, [rbp+var_460]  | * | mov rdx, [rbp+var_458] ",xcode,1
"mov [rbp+var_458], rax  | * | mov [rbp+var_450], rdx ",xcode,1
"mov rdx, [rbp+var_458]  | * | mov rdx, [rbp+var_450] ",xcode,1
"mov [rbp+var_450], rdx  | * | mov [rbp+var_448], rdx ",xcode,1
"mov rdx, [rbp+var_450]  | * | mov rdx, [rbp+var_448] ",xcode,1
"mov [rbp+var_448], rdx  | * | movzx esi, byte ptr [rdx] ",xcode,1
"mov rdx, [rbp+var_448]  | * | and esi, 1 ",xcode,1
"movzx esi, byte ptr [rdx]  | * | cmp esi, 0 ",xcode,5
"and esi, 1  | * | mov [rbp+var_4DC], ecx ",xcode,1
"cmp esi, 0  | * | mov [rbp+var_4E8], rax ",xcode,1
"mov [rbp+var_4DC], ecx  | * | jz loc_100001086 ",xcode,1
"mov [rbp+var_4E8], rax  | * | mov rax, [rbp+var_4E8] ",xcode,4
"jz loc_100001086  | * | mov [rbp+var_428], rax ",xcode,1
"mov rax, [rbp+var_4E8]  | * | mov rcx, [rbp+var_428] ",xcode,1
"mov [rbp+var_428], rax  | * | mov [rbp+var_420], rcx ",xcode,1
"mov rcx, [rbp+var_428]  | * | mov rcx, [rbp+var_420] ",xcode,2
"mov [rbp+var_420], rcx  | * | mov [rbp+var_418], rcx ",xcode,1
"mov rcx, [rbp+var_420]  | * | mov rcx, [rbp+var_418] ",xcode,3
"mov [rbp+var_418], rcx  | * | mov rcx, [rcx+8] ",xcode,1
"mov rcx, [rbp+var_418]  | * | mov [rbp+var_4F0], rcx ",xcode,1
"mov rcx, [rcx+8]  | * | jmp loc_1000010C7 ",xcode,1
"mov [rbp+var_4F0], rcx  | * | loc_100001086:  ",xcode,1
"jmp loc_1000010C7  | * | mov rax, [rbp+var_4E8] ",xcode,1
"loc_100001086:   | * | mov [rbp+var_440], rax ",xcode,1
"mov rax, [rbp+var_4E8]  | * | mov rcx, [rbp+var_440] ",xcode,1
"mov [rbp+var_440], rax  | * | mov [rbp+var_438], rcx ",xcode,1
"mov rcx, [rbp+var_440]  | * | mov rcx, [rbp+var_438] ",xcode,1
"mov [rbp+var_438], rcx  | * | mov [rbp+var_430], rcx ",xcode,1
"mov rcx, [rbp+var_438]  | * | mov rcx, [rbp+var_430] ",xcode,1
"mov [rbp+var_430], rcx  | * | movzx edx, byte ptr [rcx] ",xcode,1
"mov rcx, [rbp+var_430]  | * | sar edx, 1 ",xcode,1
"movzx edx, byte ptr [rcx]  | * | movsxd rcx, edx ",xcode,5
"sar edx, 1  | * | mov [rbp+var_4F0], rcx ",xcode,1
"movsxd rcx, edx  | * | loc_1000010C7:  ",xcode,1
"mov [rbp+var_4F0], rcx  | * | mov rax, [rbp+var_4F0] ",xcode,1
"loc_1000010C7:   | * | mov ecx, eax ",xcode,1
"mov rax, [rbp+var_4F0]  | * | mov edx, [rbp+var_4DC] ",xcode,1
"mov ecx, eax  | * | cmp edx, ecx ",xcode,3
"mov edx, [rbp+var_4DC]  | * | jge loc_1000014DF ",xcode,1
"cmp edx, ecx  | * | lea rax, [rbp+var_480] ",xcode,1
"jge loc_1000014DF  | * | movsxd rcx, [rbp+var_4A8] ",xcode,1
"lea rax, [rbp+var_480]  | * | mov [rbp+var_408], rax ",xcode,1
"movsxd rcx, [rbp+var_4A8]  | * | mov [rbp+var_410], rcx ",xcode,1
"mov [rbp+var_408], rax  | * | mov rax, [rbp+var_408] ",xcode,1
"mov [rbp+var_410], rcx  | * | mov [rbp+var_400], rax ",xcode,1
"mov rax, [rbp+var_408]  | * | mov rax, [rbp+var_400] ",xcode,1
"mov [rbp+var_400], rax  | * | mov [rbp+var_3F8], rax ",xcode,1
"mov rax, [rbp+var_400]  | * | mov rcx, [rbp+var_3F8] ",xcode,1
"mov [rbp+var_3F8], rax  | * | mov [rbp+var_3F0], rcx ",xcode,1
"mov rcx, [rbp+var_3F8]  | * | mov rcx, [rbp+var_3F0] ",xcode,2
"mov [rbp+var_3F0], rcx  | * | mov [rbp+var_3E8], rcx ",xcode,1
"mov rcx, [rbp+var_3F0]  | * | mov rcx, [rbp+var_3E8] ",xcode,1
"mov [rbp+var_3E8], rcx  | * | movzx edx, byte ptr [rcx] ",xcode,1
"mov rcx, [rbp+var_3E8]  | * | and edx, 1 ",xcode,1
"movzx edx, byte ptr [rcx]  | * | cmp edx, 0 ",xcode,9
"and edx, 1  | * | mov [rbp+var_4F8], rax ",xcode,1
"cmp edx, 0  | * | jz loc_100001196 ",xcode,1
"mov [rbp+var_4F8], rax  | * | mov rax, [rbp+var_4F8] ",xcode,2
"jz loc_100001196  | * | mov [rbp+var_3B8], rax ",xcode,1
"mov rax, [rbp+var_4F8]  | * | mov rcx, [rbp+var_3B8] ",xcode,1
"mov [rbp+var_3B8], rax  | * | mov [rbp+var_3B0], rcx ",xcode,1
"mov rcx, [rbp+var_3B8]  | * | mov rcx, [rbp+var_3B0] ",xcode,1
"mov [rbp+var_3B0], rcx  | * | mov [rbp+var_3A8], rcx ",xcode,1
"mov rcx, [rbp+var_3B0]  | * | mov rcx, [rbp+var_3A8] ",xcode,1
"mov [rbp+var_3A8], rcx  | * | mov rcx, [rcx+10h] ",xcode,1
"mov rcx, [rbp+var_3A8]  | * | mov [rbp+var_500], rcx ",xcode,1
"mov rcx, [rcx+10h]  | * | jmp loc_1000011F1 ",xcode,1
"mov [rbp+var_500], rcx  | * | loc_100001196:  ",xcode,1
"jmp loc_1000011F1  | * | mov rax, [rbp+var_4F8] ",xcode,1
"loc_100001196:   | * | mov [rbp+var_3E0], rax ",xcode,1
"mov rax, [rbp+var_4F8]  | * | mov rcx, [rbp+var_3E0] ",xcode,1
"mov [rbp+var_3E0], rax  | * | mov [rbp+var_3D8], rcx ",xcode,1
"mov rcx, [rbp+var_3E0]  | * | mov rcx, [rbp+var_3D8] ",xcode,2
"mov [rbp+var_3D8], rcx  | * | mov [rbp+var_3D0], rcx ",xcode,1
"mov rcx, [rbp+var_3D8]  | * | mov rcx, [rbp+var_3D0] ",xcode,1
"mov [rbp+var_3D0], rcx  | * | add rcx, 1 ",xcode,1
"mov rcx, [rbp+var_3D0]  | * | mov [rbp+var_3C8], rcx ",xcode,1
"add rcx, 1  | * | mov rcx, [rbp+var_3C8] ",xcode,1
"mov [rbp+var_3C8], rcx  | * | mov [rbp+var_3C0], rcx ",xcode,1
"mov rcx, [rbp+var_3C8]  | * | mov rcx, [rbp+var_3C0] ",xcode,1
"mov [rbp+var_3C0], rcx  | * | mov [rbp+var_500], rcx ",xcode,1
"mov rcx, [rbp+var_3C0]  | * | loc_1000011F1:  ",xcode,1
"mov [rbp+var_500], rcx  | * | mov rax, [rbp+var_500] ",xcode,2
"loc_1000011F1:   | * | add rax, [rbp+var_410] ",xcode,1
"mov rax, [rbp+var_500]  | * | mov [rbp+var_508], rax ",xcode,1
"add rax, [rbp+var_410]  | * | mov rax, [rbp+var_508] ",xcode,1
"mov [rbp+var_508], rax  | * | movsx ecx, byte ptr [rax] ",xcode,1
"mov rax, [rbp+var_508]  | * | cmp ecx, 20h  ",xcode,1
"movsx ecx, byte ptr [rax]  | * | jz loc_1000014C4 ",xcode,1
"cmp ecx, 20h   | * | lea rax, [rbp+var_498] ",xcode,1
"jz loc_1000014C4  | * | movsxd rcx, [rbp+var_4A8] ",xcode,1
"lea rax, [rbp+var_498]  | * | mov [rbp+var_2B0], rax ",xcode,1
"movsxd rcx, [rbp+var_4A8]  | * | mov [rbp+var_2B8], rcx ",xcode,1
"mov [rbp+var_2B0], rax  | * | mov rax, [rbp+var_2B0] ",xcode,1
"mov [rbp+var_2B8], rcx  | * | mov [rbp+var_2A8], rax ",xcode,1
"mov rax, [rbp+var_2B0]  | * | mov rax, [rbp+var_2A8] ",xcode,1
"mov [rbp+var_2A8], rax  | * | mov [rbp+var_2A0], rax ",xcode,1
"mov rax, [rbp+var_2A8]  | * | mov rcx, [rbp+var_2A0] ",xcode,1
"mov [rbp+var_2A0], rax  | * | mov [rbp+var_298], rcx ",xcode,1
"mov rcx, [rbp+var_2A0]  | * | mov rcx, [rbp+var_298] ",xcode,1
"mov [rbp+var_298], rcx  | * | mov [rbp+var_290], rcx ",xcode,1
