idiom,label,count
"mov al, 0  | * | lea rsi, _buf ",xcode,1
"call _scanf  | * | lea rdi, _s ",xcode,1
"lea rsi, _buf  | * | mov [rbp+var_8], rdi ",xcode,1
"lea rdi, _s  | * | mov [rbp+var_10], rsi ",xcode,1
"mov [rbp+var_8], rdi  | * | mov rdi, [rbp+var_8] ",xcode,3
"mov [rbp+var_10], rsi  | * | mov rsi, [rbp+var_10] ",xcode,3
"mov rdi, [rbp+var_8]  | * | mov [rbp+var_1C], eax ",xcode,1
"mov rsi, [rbp+var_10]  | * | call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6assignEPKc  ",xcode,1
"mov [rbp+var_1C], eax  | * | mov [rbp+var_28], rax ",xcode,1
"call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6assignEPKc   | * | add rsp, 30h ",xcode,1
"mov [rbp+var_28], rax  | * | pop rbp ",xcode,1
"add rsp, 30h  | * | retn ",xcode,2
pop rbp  | * | __Z4readv endp ,xcode,1
retn  | * | align 10h ,xcode,15
__Z4readv endp  | * | public __Z3addii ,xcode,1
align 10h  | * | __Z3addii proc near  ,xcode,1
var_120 = byte ptr -120h  | * | var_108 = byte ptr -108h ,data,1
var_110 = byte ptr -110h  | * | var_100 = dword ptr -100h ,data,1
var_108 = byte ptr -108h  | * | var_FC = dword ptr -0FCh ,data,1
var_100 = dword ptr -100h  | * | var_F8 = dword ptr -0F8h ,data,1
var_FC = dword ptr -0FCh  | * | var_F4 = dword ptr -0F4h ,data,1
var_F8 = dword ptr -0F8h  | * | var_F0 = qword ptr -0F0h ,data,1
var_F4 = dword ptr -0F4h  | * | var_E8 = qword ptr -0E8h ,data,1
var_E8 = qword ptr -0E8h  | * | var_D8 = qword ptr -0D8h ,data,16
var_D0 = qword ptr -0D0h  | * | var_C0 = byte ptr -0C0h ,data,1
var_C8 = qword ptr -0C8h  | * | var_B0 = qword ptr -0B0h ,data,1
var_C0 = byte ptr -0C0h  | * | var_A8 = qword ptr -0A8h ,data,1
var_58 = qword ptr -58h  | * | var_48 = dword ptr -48h ,data,1
var_50 = qword ptr -50h  | * | var_44 = dword ptr -44h ,data,1
var_48 = dword ptr -48h  | * | var_40 = qword ptr -40h ,data,1
var_44 = dword ptr -44h  | * | var_38 = qword ptr -38h ,data,1
push rbp  | * | push r14 ,xcode,1
"mov rbp, rsp  | * | push rbx ",xcode,1
"push r14  | * | sub rsp, 110h ",xcode,1
"push rbx  | * | lea rax, [rbp+var_108] ",xcode,1
"sub rsp, 110h  | * | lea rcx, _g ",xcode,1
"lea rax, [rbp+var_108]  | * | lea rdx, [rbp+var_F8] ",xcode,1
"lea rcx, _g  | * | lea r8, [rbp+var_F4] ",xcode,1
"lea rdx, [rbp+var_F8]  | * | mov [rbp+var_FC], edi ",xcode,1
"lea r8, [rbp+var_F4]  | * | mov [rbp+var_100], esi ",xcode,1
"mov [rbp+var_FC], edi  | * | mov esi, [rbp+var_FC] ",xcode,1
"mov [rbp+var_100], esi  | * | mov edi, [rbp+var_100] ",xcode,1
"mov esi, [rbp+var_FC]  | * | mov [rbp+var_F4], esi ",xcode,1
"mov edi, [rbp+var_100]  | * | mov [rbp+var_F8], edi ",xcode,1
"mov [rbp+var_F4], esi  | * | mov [rbp+var_E0], rax ",xcode,1
"mov [rbp+var_F8], edi  | * | mov [rbp+var_E8], r8 ",xcode,1
"mov [rbp+var_E0], rax  | * | mov [rbp+var_F0], rdx ",xcode,1
"mov [rbp+var_E8], r8  | * | mov rdx, [rbp+var_E0] ",xcode,1
"mov [rbp+var_F0], rdx  | * | mov r8, [rbp+var_E8] ",xcode,1
"mov rdx, [rbp+var_E0]  | * | mov r9, [rbp+var_F0] ",xcode,1
"mov r8, [rbp+var_E8]  | * | mov [rbp+var_C8], rdx ",xcode,1
