idiom,label,count
"mov [rbp+var_A8], rcx  | * | mov rcx, [rbp+var_A8] ",xcode,2
"mov [rbp+var_B0], rdx  | * | mov rdx, [rbp+var_B0] ",xcode,2
"mov rcx, [rbp+var_A8]  | * | mov rcx, [rcx] ",xcode,1
"mov rdx, [rbp+var_B0]  | * | mov esi, [rcx+rdx*4] ",xcode,1
"mov rcx, [rcx]  | * | mov [rbp+var_128], esi ",xcode,1
"mov esi, [rcx+rdx*4]  | * | movsxd rcx, [rbp+var_108] ",xcode,1
"mov [rbp+var_128], esi  | * | mov esi, [rax+rcx*4] ",xcode,1
"movsxd rcx, [rbp+var_108]  | * | mov edi, [rbp+var_110] ",xcode,1
"mov esi, [rax+rcx*4]  | * | mov r8d, [rbp+var_108] ",xcode,1
"mov edi, [rbp+var_110]  | * | sub r8d, [rbp+var_128] ",xcode,1
"mov r8d, [rbp+var_108]  | * | imul edi, r8d ",xcode,1
"sub r8d, [rbp+var_128]  | * | mov [rbp+var_130], rax ",xcode,1
"imul edi, r8d  | * | mov eax, edi ",xcode,1
"mov [rbp+var_130], rax  | * | cdq ",xcode,1
"mov eax, edi  | * | idiv [rbp+var_10C] ",xcode,1
"cdq  | * | sub esi, eax ",xcode,1
"idiv [rbp+var_10C]  | * | sub esi, 1 ",xcode,1
"sub esi, eax  | * | movsxd rcx, [rbp+var_128] ",xcode,1
"sub esi, 1  | * | mov r9, [rbp+var_130] ",xcode,1
"movsxd rcx, [rbp+var_128]  | * | mov [r9+rcx*4], esi ",xcode,1
"mov r9, [rbp+var_130]  | * | mov edi, [rbp+var_128]  ",xcode,1
"mov [r9+rcx*4], esi  | * | mov eax, [rbp+var_108] ",xcode,1
"mov edi, [rbp+var_128]   | * | sub eax, [rbp+var_128] ",xcode,1
"mov eax, [rbp+var_108]  | * | movsxd rcx, [rbp+var_108] ",xcode,1
"sub eax, [rbp+var_128]  | * | mov edx, [r9+rcx*4] ",xcode,1
"movsxd rcx, [rbp+var_108]  | * | movsxd rcx, [rbp+var_128] ",xcode,1
"mov edx, [r9+rcx*4]  | * | sub edx, [r9+rcx*4]  ",xcode,1
"movsxd rcx, [rbp+var_128]  | * | mov esi, eax  ",xcode,1
"sub edx, [r9+rcx*4]   | * | call __Z2goiii  ",xcode,1
"mov esi, eax   | * | lea rcx, _y ",xcode,1
"call __Z2goiii   | * | mov edx, [rbp+var_108] ",xcode,1
"lea rcx, _y  | * | sub edx, [rbp+var_128] ",xcode,1
"mov edx, [rbp+var_108]  | * | mov [rbp+var_10C], edx ",xcode,1
"sub edx, [rbp+var_128]  | * | movsxd r9, [rbp+var_108] ",xcode,1
"mov [rbp+var_10C], edx  | * | mov edx, [rcx+r9*4] ",xcode,1
"movsxd r9, [rbp+var_108]  | * | movsxd r9, [rbp+var_128] ",xcode,1
"mov edx, [rcx+r9*4]  | * | sub edx, [rcx+r9*4] ",xcode,1
"movsxd r9, [rbp+var_128]  | * | mov [rbp+var_110], edx ",xcode,1
"sub edx, [rcx+r9*4]  | * | mov [rbp+var_134], eax ",xcode,1
"mov [rbp+var_110], edx  | * | mov eax, [rbp+var_124] ",xcode,1
"mov [rbp+var_134], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_124]  | * | mov [rbp+var_124], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000013B9 ",xcode,1
"mov [rbp+var_124], eax  | * | loc_100001517:  ",xcode,1
"jmp loc_1000013B9  | * | mov [rbp+var_104], 0 ",xcode,1
loc_100001517:   | * | loc_100001521:  ,xcode,1
"mov [rbp+var_104], 0  | * | mov eax, [rbp+var_104] ",xcode,1
"loc_100001521:   | * | add rsp, 140h ",xcode,1
"mov eax, [rbp+var_104]  | * | pop rbp ",xcode,1
"add rsp, 140h  | * | retn ",xcode,2
pop rbp  | * | __Z2goiii endp ,xcode,1
retn  | * | public __Z4vectxxxx ,xcode,1
__Z2goiii endp  | * | __Z4vectxxxx proc near  ,xcode,1
"push rbp  | * | mov [rbp+var_8], rdi ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_10], rsi ",xcode,1
"mov [rbp+var_8], rdi  | * | mov [rbp+var_18], rdx ",xcode,2
"mov [rbp+var_10], rsi  | * | mov [rbp+var_20], rcx ",xcode,2
"mov [rbp+var_18], rdx  | * | mov rcx, [rbp+var_8] ",xcode,1
"mov [rbp+var_20], rcx  | * | imul rcx, [rbp+var_20] ",xcode,1
"mov rcx, [rbp+var_8]  | * | mov rdx, [rbp+var_18] ",xcode,1
"imul rcx, [rbp+var_20]  | * | imul rdx, [rbp+var_10] ",xcode,1
"mov rdx, [rbp+var_18]  | * | sub rcx, rdx ",xcode,1
"imul rdx, [rbp+var_10]  | * | mov rax, rcx ",xcode,1
"sub rcx, rdx  | * | pop rbp ",xcode,1
"mov rax, rcx  | * | retn ",xcode,1
pop rbp  | * | __Z4vectxxxx endp ,xcode,1
retn  | * | align 20h ,xcode,9
__Z4vectxxxx endp  | * | public _main ,xcode,1
align 20h  | * | _main proc near ,xcode,1
var_218 = qword ptr -218h  | * | var_204 = dword ptr -204h ,data,1
var_210 = qword ptr -210h  | * | var_200 = qword ptr -200h ,data,2
var_204 = dword ptr -204h  | * | var_1F8 = dword ptr -1F8h ,data,1
var_200 = qword ptr -200h  | * | var_1F4 = dword ptr -1F4h ,data,1
var_1F8 = dword ptr -1F8h  | * | var_1F0 = qword ptr -1F0h ,data,1
var_1F4 = dword ptr -1F4h  | * | var_1E1 = byte ptr -1E1h ,data,1
var_1F0 = qword ptr -1F0h  | * | var_1E0 = qword ptr -1E0h ,data,2
var_1E1 = byte ptr -1E1h  | * | var_1D8 = qword ptr -1D8h ,data,1
var_1E0 = qword ptr -1E0h  | * | var_1D0 = qword ptr -1D0h ,data,2
var_1D8 = qword ptr -1D8h  | * | var_1C4 = dword ptr -1C4h ,data,1
var_1D0 = qword ptr -1D0h  | * | var_1C0 = qword ptr -1C0h ,data,2
var_1C4 = dword ptr -1C4h  | * | var_1B8 = qword ptr -1B8h ,data,1
var_1C0 = qword ptr -1C0h  | * | var_1AC = dword ptr -1ACh ,data,1
var_1B8 = qword ptr -1B8h  | * | var_1A8 = qword ptr -1A8h ,data,2
var_1AC = dword ptr -1ACh  | * | var_1A0 = dword ptr -1A0h ,data,1
var_1A8 = qword ptr -1A8h  | * | var_19C = dword ptr -19Ch ,data,1
var_1A0 = dword ptr -1A0h  | * | var_198 = dword ptr -198h ,data,1
var_19C = dword ptr -19Ch  | * | var_194 = dword ptr -194h ,data,1
var_198 = dword ptr -198h  | * | var_190 = dword ptr -190h ,data,1
var_194 = dword ptr -194h  | * | var_18C = dword ptr -18Ch ,data,1
var_190 = dword ptr -190h  | * | var_188 = dword ptr -188h ,data,1
var_18C = dword ptr -18Ch  | * | var_184 = dword ptr -184h ,data,1
var_188 = dword ptr -188h  | * | var_180 = dword ptr -180h ,data,1
var_184 = dword ptr -184h  | * | var_17C = dword ptr -17Ch ,data,1
var_180 = dword ptr -180h  | * | var_178 = dword ptr -178h ,data,1
var_17C = dword ptr -17Ch  | * | var_174 = dword ptr -174h ,data,1
var_178 = dword ptr -178h  | * | var_170 = dword ptr -170h ,data,1
var_174 = dword ptr -174h  | * | var_16C = dword ptr -16Ch ,data,1
var_170 = dword ptr -170h  | * | var_168 = dword ptr -168h ,data,1
var_16C = dword ptr -16Ch  | * | var_164 = dword ptr -164h ,data,1
var_168 = dword ptr -168h  | * | var_160 = dword ptr -160h ,data,1
var_164 = dword ptr -164h  | * | var_150 = qword ptr -150h ,data,1
var_160 = dword ptr -160h  | * | var_148 = qword ptr -148h ,data,1
var_150 = qword ptr -150h  | * | var_130 = qword ptr -130h ,data,1
var_148 = qword ptr -148h  | * | var_128 = qword ptr -128h ,data,1
var_130 = qword ptr -130h  | * | var_120 = qword ptr -120h ,data,5
var_128 = qword ptr -128h  | * | var_118 = qword ptr -118h ,data,6
var_120 = qword ptr -120h  | * | var_110 = qword ptr -110h ,data,6
var_118 = qword ptr -118h  | * | var_F8 = qword ptr -0F8h ,data,1
var_110 = qword ptr -110h  | * | var_F0 = qword ptr -0F0h ,data,1
var_90 = qword ptr -90h  | * | var_80 = qword ptr -80h ,data,8
var_88 = qword ptr -88h  | * | var_78 = qword ptr -78h ,data,8
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,6
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,8
