idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov esi, dword_406308  | * | mov eax, [esp+30h+var_14] ",msvc,1
loc_4011AD:   | * | inc eax ,msvc,1
"mov eax, [esp+30h+var_14]  | * | add ebx, 10h ",msvc,1
"inc eax  | * | mov [esp+30h+var_14], eax ",msvc,1
"add ebx, 10h  | * | cmp eax, esi ",msvc,1
"mov [esp+30h+var_14], eax  | * | jl short loc_401180 ",msvc,1
"cmp eax, esi  | * | loc_4011BD:  ",msvc,1
"jl short loc_401180  | * | xor ebx, ebx ",msvc,1
"loc_4011BD:   | * | mov [esp+30h+var_20], ebx ",msvc,1
"xor ebx, ebx  | * | cmp esi, 1 ",msvc,1
"mov [esp+30h+var_20], ebx  | * | jle loc_4012C8 ",msvc,1
"cmp esi, 1  | * | lea esp, [esp+0] ",msvc,1
jle loc_4012C8  | * | loc_4011D0:  ,msvc,1
"lea esp, [esp+0]  | * | lea esi, dword_406310[ebx*4] ",msvc,1
loc_4011D0:   | * | push esi ,msvc,1
"lea esi, dword_406310[ebx*4]  | * | push offset Format  ",msvc,1
push esi  | * | call ds:scanf ,msvc,1
push offset Format   | * | dec dword ptr [esi] ,msvc,1
"call ds:scanf  | * | mov esi, [esi] ",msvc,1
"dec dword ptr [esi]  | * | shl esi, 4 ",msvc,1
"mov esi, [esi]  | * | add esi, offset dword_408250 ",msvc,1
"shl esi, 4  | * | mov eax, [esi+4] ",msvc,1
"add esi, offset dword_408250  | * | lea ecx, [esp+38h+var_20] ",msvc,1
"mov eax, [esi+4]  | * | add esp, 8 ",msvc,1
"lea ecx, [esp+38h+var_20]  | * | cmp ecx, eax ",msvc,1
"add esp, 8  | * | jnb short loc_401261 ",msvc,1
"cmp ecx, eax  | * | mov edx, [esi] ",msvc,1
"jnb short loc_401261  | * | cmp edx, ecx ",msvc,1
"mov edx, [esi]  | * | ja short loc_401261 ",msvc,1
"cmp edx, ecx  | * | mov edi, ecx ",msvc,1
"ja short loc_401261  | * | mov ecx, [esi+8] ",msvc,1
"mov edi, ecx  | * | sub edi, edx ",msvc,1
