idiom,label,count
"mov ecx, eax  | * | loc_401327:  ",msvc,1
"call ds:?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ   | * | mov eax, [esi] ",msvc,1
"loc_401327:   | * | mov eax, [eax+4] ",msvc,1
"mov eax, [esi]  | * | cmp dword ptr [eax+esi+0Ch], 0 ",msvc,1
"mov eax, [eax+4]  | * | setz cl ",msvc,1
"cmp dword ptr [eax+esi+0Ch], 0  | * | mov [ebp+var_1C], cl ",msvc,1
"setz cl  | * | mov [ebp+var_4], 1 ",msvc,1
"mov [ebp+var_1C], cl  | * | test cl, cl ",msvc,1
"mov [ebp+var_4], 1  | * | jnz short loc_40134E ",msvc,1
"test cl, cl  | * | mov [ebp+var_14], 4 ",msvc,1
jnz short loc_40134E  | * | jmp loc_4013E5 ,msvc,1
"mov [ebp+var_14], 4  | * | loc_40134E:  ",msvc,1
"jmp loc_4013E5  | * | mov byte ptr [ebp+var_4], 2 ",msvc,1
"loc_40134E:   | * | mov eax, [eax+esi+14h] ",msvc,1
"mov byte ptr [ebp+var_4], 2  | * | and eax, 1C0h ",msvc,1
"mov eax, [eax+esi+14h]  | * | cmp eax, 40h  ",msvc,1
"and eax, 1C0h  | * | jz short loc_401397 ",msvc,1
"cmp eax, 40h   | * | loc_401360:  ",msvc,1
"jz short loc_401397  | * | test ebx, ebx ",msvc,1
loc_401360:   | * | jl short loc_401391 ,msvc,1
"test ebx, ebx  | * | jg short loc_40136A ",msvc,1
"jl short loc_401391  | * | test edi, edi ",msvc,1
jg short loc_40136A  | * | jz short loc_401391 ,msvc,1
"test edi, edi  | * | loc_40136A:  ",msvc,1
"jz short loc_401391  | * | mov edx, [esi] ",msvc,1
"loc_40136A:   | * | mov eax, [edx+4] ",msvc,1
"mov edx, [esi]  | * | mov cl, [eax+esi+40h] ",msvc,2
"mov eax, [edx+4]  | * | mov byte ptr [ebp+var_18], cl ",msvc,2
"mov cl, [eax+esi+40h]  | * | mov edx, [ebp+var_18] ",msvc,2
"mov byte ptr [ebp+var_18], cl  | * | mov ecx, [eax+esi+38h] ",msvc,2
"mov edx, [ebp+var_18]  | * | push edx ",msvc,2
"mov ecx, [eax+esi+38h]  | * | call ds:?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z  ",msvc,2
"push edx  | * | cmp eax, 0FFFFFFFFh ",msvc,2
call ds:?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z   | * | jnz loc_401443 ,msvc,1
"cmp eax, 0FFFFFFFFh  | * | or [ebp+var_14], 4 ",msvc,2
jnz loc_401443  | * | loc_401391:  ,msvc,1
"or [ebp+var_14], 4  | * | cmp [ebp+var_14], 0 ",msvc,1
loc_401391:   | * | jnz short loc_4013CF ,msvc,1
"cmp [ebp+var_14], 0  | * | loc_401397:  ",msvc,1
"jnz short loc_4013CF  | * | mov eax, [esi] ",msvc,1
"loc_401397:   | * | mov ecx, [eax+4] ",msvc,1
"mov eax, [esi]  | * | mov ecx, [ecx+esi+38h] ",msvc,1
"mov ecx, [eax+4]  | * | xor eax, eax ",msvc,1
"mov ecx, [ecx+esi+38h]  | * | push eax ",msvc,1
"xor eax, eax  | * | mov eax, 1 ",msvc,1
push eax  | * | push eax ,msvc,2
"mov eax, 1  | * | mov eax, offset asc_402144  ",msvc,1
"mov eax, offset asc_402144   | * | call ds:?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z  ",msvc,1
"push eax  | * | mov ecx, 1 ",msvc,1
"call ds:?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z   | * | cmp eax, ecx ",msvc,1
"mov ecx, 1  | * | jnz short loc_4013C8 ",msvc,1
"cmp eax, ecx  | * | xor eax, eax ",msvc,1
"jnz short loc_4013C8  | * | cmp edx, eax ",msvc,1
"xor eax, eax  | * | jz loc_401450 ",msvc,1
"cmp edx, eax  | * | loc_4013C8:  ",msvc,1
"jz loc_401450  | * | mov [ebp+var_14], 4 ",msvc,1
loc_4013C8:   | * | loc_4013CF:  ,msvc,1
"mov [ebp+var_14], 4  | * | mov edx, [esi] ",msvc,1
"loc_4013CF:   | * | mov eax, [edx+4] ",msvc,1
"mov edx, [esi]  | * | xor ecx, ecx ",msvc,1
"mov eax, [edx+4]  | * | mov [eax+esi+20h], ecx ",msvc,1
"xor ecx, ecx  | * | mov [eax+esi+24h], ecx ",msvc,1
"mov [eax+esi+20h], ecx  | * | mov [ebp+var_4], 1 ",msvc,1
"mov [eax+esi+24h], ecx  | * | loc_4013E5:  ",msvc,1
"mov [ebp+var_4], 1  | * | mov ecx, [esi] ",msvc,1
"loc_4013E5:   | * | mov eax, [ebp+var_14] ",msvc,1
"mov ecx, [esi]  | * | mov ecx, [ecx+4] ",msvc,1
"mov eax, [ebp+var_14]  | * | push 0 ",msvc,1
"mov ecx, [ecx+4]  | * | push eax ",msvc,1
"push 0  | * | add ecx, esi ",msvc,1
push eax  | * | call ds:?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z  ,msvc,1
"add ecx, esi  | * | mov [ebp+var_4], 4 ",msvc,1
call ds:?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z   | * | call ds:?uncaught_exception@std@@YA_NXZ  ,msvc,1
"mov [ebp+var_4], 4  | * | mov edi, [ebp+var_20] ",msvc,1
"call ds:?uncaught_exception@std@@YA_NXZ   | * | test al, al ",msvc,1
"mov edi, [ebp+var_20]  | * | jnz short loc_401414 ",msvc,1
"test al, al  | * | mov ecx, edi ",msvc,1
jnz short loc_401414  | * | call ds:?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ  ,msvc,1
"mov ecx, edi  | * | loc_401414:  ",msvc,1
"loc_401414:   | * | mov edx, [edi] ",msvc,1
"mov [ebp+var_4], 0FFFFFFFFh  | * | mov eax, [edx+4] ",msvc,1
"mov edx, [edi]  | * | mov ecx, [eax+edi+38h] ",msvc,1
"mov eax, [edx+4]  | * | test ecx, ecx ",msvc,1
"mov ecx, [eax+edi+38h]  | * | jz short loc_40142F ",msvc,1
"jz short loc_40142F  | * | mov eax, [edx+8] ",msvc,1
"mov eax, [edx+8]  | * | loc_40142F:  ",msvc,1
"call eax  | * | mov eax, esi ",msvc,1
"loc_40142F:   | * | mov ecx, [ebp+var_C] ",msvc,1
"mov eax, esi  | * | mov large fs:0, ecx ",msvc,1
"mov large fs:0, ecx  | * | pop edi ",msvc,1
pop ecx  | * | pop esi ,msvc,1
pop ebp  | * | loc_401443:  ,msvc,1
"retn  | * | add edi, 0FFFFFFFFh ",msvc,1
"loc_401443:   | * | adc ebx, 0FFFFFFFFh ",msvc,1
"add edi, 0FFFFFFFFh  | * | jmp loc_401360 ",msvc,1
"adc ebx, 0FFFFFFFFh  | * | align 10h ",msvc,1
jmp loc_401360  | * | loc_401450:  ,msvc,1
"align 10h  | * | test ebx, ebx ",msvc,1
loc_401450:   | * | jl loc_4013CF ,msvc,1
"test ebx, ebx  | * | jg short loc_401462 ",msvc,1
"jl loc_4013CF  | * | test edi, edi ",msvc,1
jg short loc_401462  | * | jz loc_4013CF ,msvc,1
"test edi, edi  | * | loc_401462:  ",msvc,1
"jz loc_4013CF  | * | mov edx, [esi] ",msvc,1
"loc_401462:   | * | mov eax, [edx+4] ",msvc,1
call ds:?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z   | * | jnz short loc_40148A ,msvc,1
jnz short loc_40148A  | * | jmp loc_4013CF ,msvc,1
"or [ebp+var_14], 4  | * | loc_40148A:  ",msvc,1
"jmp loc_4013CF  | * | add edi, 0FFFFFFFFh ",msvc,1
"loc_40148A:   | * | adc ebx, 0FFFFFFFFh ",msvc,1
"add edi, 0FFFFFFFFh  | * | jmp short loc_401450 ",msvc,1
"adc ebx, 0FFFFFFFFh  | * | loc_401492:  ",msvc,1
"jmp short loc_401450  | * | mov eax, [ebp+arg_0] ",msvc,1
"loc_401492:   | * | mov ecx, [eax] ",msvc,1
"mov eax, [ebp+arg_0]  | * | mov ecx, [ecx+4] ",msvc,1
"mov ecx, [eax]  | * | push 1 ",msvc,1
"mov ecx, [ecx+4]  | * | push 4 ",msvc,1
"push 1  | * | add ecx, eax ",msvc,1
push 4  | * | call ds:?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z  ,msvc,1
"add ecx, eax  | * | mov [ebp+var_4], 1 ",msvc,1
"call ds:?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z   | * | mov eax, offset loc_4014B3 ",msvc,1
"mov [ebp+var_4], 1  | * | retn ",msvc,1
"mov eax, offset loc_4014B3  | * | loc_4014B3:  ",msvc,1
"retn  | * | mov esi, [ebp+arg_0] ",msvc,1
loc_4014B3:   | * | jmp loc_4013E5 ,msvc,1
"mov esi, [ebp+arg_0]  | * | sub_401290 endp ",msvc,1
jmp loc_4013E5  | * | sub_4018AA proc near  ,msvc,1
sub_401290 endp  | * | push offset ?__CxxUnhandledExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z  ,msvc,1
sub_4018AA proc near   | * | call ds:SetUnhandledExceptionFilter ,msvc,1
"push offset ?__CxxUnhandledExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z   | * | xor eax, eax ",msvc,1
