idiom,label,count
"cmp dword ptr [rax-8], 0  | * | mov edi, offset s  ",icc,3
jl short loc_401199  | * | call __ZNSs12_M_leak_hardEv  ,icc,1
"mov edi, offset s   | * | mov rax, cs:s ",icc,3
"call __ZNSs12_M_leak_hardEv   | * | mov rcx, ds:qword_60D468[r13] ",icc,1
"mov rax, cs:s  | * | loc_401199:  ",icc,1
"mov rcx, ds:qword_60D468[r13]  | * | movsx ebx, byte ptr [rax+r14] ",icc,1
"loc_401199:   | * | add ebx, 0FFFFFF9Fh ",icc,1
"movsx ebx, byte ptr [rax+r14]  | * | cmp rcx, ds:qword_60D470[r13] ",icc,1
"add ebx, 0FFFFFF9Fh  | * | jnz loc_4012FD ",icc,1
"cmp rcx, ds:qword_60D470[r13]  | * | mov rax, rcx ",icc,2
"jnz loc_4012FD  | * | mov rdx, ds:v[r13] ",icc,1
"mov rax, rcx  | * | sub rax, rdx ",icc,1
"mov rdx, ds:v[r13]  | * | sar rax, 2 ",icc,1
"sub rax, rdx  | * | mov r12d, 1 ",icc,1
"sar rax, 2  | * | cmp rax, 1 ",icc,2
"mov r12d, 1  | * | cmova r12, rax ",icc,2
"cmp rax, 1  | * | add r12, rax ",icc,2
"cmova r12, rax  | * | cmp r12, rax ",icc,2
"add r12, rax  | * | jb short loc_4011F2 ",icc,1
"cmp r12, rax  | * | mov rax, 3FFFFFFFFFFFFFFFh ",icc,2
"jb short loc_4011F2  | * | cmp r12, rax ",icc,1
"mov rax, 3FFFFFFFFFFFFFFFh  | * | ja short loc_4011F2 ",icc,1
"cmp r12, rax  | * | test r12, r12 ",icc,2
ja short loc_4011F2  | * | jnz short loc_4011FC ,icc,1
"test r12, r12  | * | shl r12, 2 ",icc,2
"jnz short loc_4011FC  | * | xor r15d, r15d ",icc,1
"shl r12, 2  | * | jmp short loc_401225 ",icc,1
"xor r15d, r15d  | * | loc_4011F2:  ",icc,1
"jmp short loc_401225  | * | mov r12, 3FFFFFFFFFFFFFFFh ",icc,1
loc_4011F2:   | * | loc_4011FC:  ,icc,1
"mov r12, 3FFFFFFFFFFFFFFFh  | * | shl r12, 2 ",icc,2
"loc_4011FC:   | * | mov rdi, r12  ",icc,1
"shl r12, 2  | * | mov [rsp+100h+var_90], rdx ",icc,1
"mov rdi, r12   | * | mov [rsp+100h+var_68], rcx ",icc,1
"mov [rsp+100h+var_90], rdx  | * | call __Znwm  ",icc,1
"mov [rsp+100h+var_68], rcx  | * | mov rcx, [rsp+100h+var_68] ",icc,2
"call __Znwm   | * | mov r15, rax ",icc,2
"mov rcx, [rsp+100h+var_68]  | * | mov rdx, [rsp+100h+var_90] ",icc,1
"mov r15, rax  | * | loc_401225:  ",icc,1
"mov rdx, [rsp+100h+var_90]  | * | neg rdx ",icc,1
"loc_401225:   | * | add rdx, rcx ",icc,1
"neg rdx  | * | and rdx, 0FFFFFFFFFFFFFFFCh ",icc,1
"add rdx, rcx  | * | add rdx, r15 ",icc,1
"and rdx, 0FFFFFFFFFFFFFFFCh  | * | jz short loc_401236 ",icc,1
"add rdx, r15  | * | mov [rdx], ebx ",icc,1
jz short loc_401236  | * | loc_401236:  ,icc,1
"mov [rdx], ebx  | * | mov rax, rcx ",icc,1
"loc_401236:   | * | mov rsi, ds:v[r13] ",icc,1
"mov rax, rcx  | * | sub rax, rsi ",icc,2
"mov rsi, ds:v[r13]  | * | sar rax, 2 ",icc,2
"sub rax, rsi  | * | test rax, rax ",icc,2
"sar rax, 2  | * | jz short loc_40127C ",icc,1
"test rax, rax  | * | mov rdi, r15 ",icc,2
"jz short loc_40127C  | * | lea rdx, ds:0[rax*4] ",icc,1
"mov rdi, r15  | * | mov [rsp+100h+var_60], rax ",icc,1
"lea rdx, ds:0[rax*4]  | * | mov [rsp+100h+var_68], rcx ",icc,1
"mov [rsp+100h+var_60], rax  | * | call _intel_fast_memmove ",icc,1
"call _intel_fast_memmove  | * | mov rax, [rsp+100h+var_60] ",icc,1
"mov rcx, [rsp+100h+var_68]  | * | loc_40127C:  ",icc,1
"mov rax, [rsp+100h+var_60]  | * | mov rbx, ds:qword_60D468[r13] ",icc,1
"loc_40127C:   | * | lea rax, [r15+rax*4+4] ",icc,1
"mov rbx, ds:qword_60D468[r13]  | * | sub rbx, rcx ",icc,2
"lea rax, [r15+rax*4+4]  | * | sar rbx, 2 ",icc,2
"sub rbx, rcx  | * | test rbx, rbx ",icc,2
"sar rbx, 2  | * | jz short loc_4012B7 ",icc,1
"test rbx, rbx  | * | mov rdi, rax ",icc,2
"jz short loc_4012B7  | * | lea rdx, ds:0[rbx*4] ",icc,1
"mov rdi, rax  | * | mov rsi, rcx ",icc,2
"lea rdx, ds:0[rbx*4]  | * | mov [rsp+100h+var_58], rax ",icc,1
"mov rsi, rcx  | * | call _intel_fast_memmove ",icc,2
"mov [rsp+100h+var_58], rax  | * | mov rax, [rsp+100h+var_58] ",icc,2
call _intel_fast_memmove  | * | loc_4012B7:  ,icc,1
"mov rax, [rsp+100h+var_58]  | * | mov rdi, ds:v[r13]  ",icc,1
"loc_4012B7:   | * | test rdi, rdi ",icc,1
"mov rdi, ds:v[r13]   | * | jz short loc_4012D8 ",icc,1
"test rdi, rdi  | * | mov [rsp+100h+var_58], rax ",icc,1
jz short loc_4012D8  | * | call __ZdlPv  ,icc,1
call __ZdlPv   | * | loc_4012D8:  ,icc,1
"mov rax, [rsp+100h+var_58]  | * | add r12, r15 ",icc,1
"loc_4012D8:   | * | lea rax, [rax+rbx*4] ",icc,1
"add r12, r15  | * | mov ds:qword_60D468[r13], rax ",icc,1
"lea rax, [rax+rbx*4]  | * | mov ds:v[r13], r15 ",icc,1
"mov ds:qword_60D468[r13], rax  | * | mov ds:qword_60D470[r13], r12 ",icc,1
"mov ds:v[r13], r15  | * | mov rax, cs:s ",icc,1
