idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"mov [rbp+var_84], eax  | * | cdq ",xcode,1
"mov eax, ecx  | * | mov ecx, [rbp+var_84] ",xcode,1
"mov ecx, [rbp+var_84]  | * | mov edx, [rbp+var_78] ",xcode,1
"idiv ecx  | * | mov [rbp+var_88], eax ",xcode,1
"mov edx, [rbp+var_78]  | * | mov eax, edx ",xcode,1
"mov [rbp+var_88], eax  | * | cdq ",xcode,1
"mov eax, edx  | * | idiv ecx ",xcode,1
"cdq  | * | imul edx, [rbp+var_60] ",xcode,1
"idiv ecx  | * | mov eax, [rbp+var_88] ",xcode,1
"imul edx, [rbp+var_60]  | * | add eax, edx ",xcode,1
"mov eax, [rbp+var_88]  | * | mov [rbp+var_78], eax ",xcode,1
"add eax, edx  | * | mov eax, [rbp+var_80] ",xcode,1
"mov [rbp+var_78], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_80]  | * | mov [rbp+var_80], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000966 ",xcode,1
"mov [rbp+var_80], eax  | * | loc_100000A17:  ",xcode,1
"jmp loc_100000966  | * | lea rdx, [rbp+var_40] ",xcode,1
"loc_100000A17:   | * | lea rax, _v ",xcode,1
"lea rdx, [rbp+var_40]  | * | movsxd rcx, [rbp+var_7C] ",xcode,1
"lea rax, _v  | * | shl rcx, 2 ",xcode,2
"movsxd rcx, [rbp+var_7C]  | * | mov rsi, rax ",xcode,1
"shl rcx, 2  | * | add rsi, rcx ",xcode,1
"mov rsi, rax  | * | mov [rbp+var_48], rax ",xcode,1
"add rsi, rcx  | * | mov [rbp+var_50], rsi ",xcode,1
"mov [rbp+var_48], rax  | * | mov rax, [rbp+var_48] ",xcode,1
"mov [rbp+var_50], rsi  | * | mov rcx, [rbp+var_50] ",xcode,1
"mov rax, [rbp+var_48]  | * | mov [rbp+var_30], rax ",xcode,1
"mov rcx, [rbp+var_50]  | * | mov [rbp+var_38], rcx ",xcode,1
"mov [rbp+var_30], rax  | * | mov rdi, [rbp+var_30] ",xcode,1
"mov [rbp+var_38], rcx  | * | mov rsi, [rbp+var_38] ",xcode,1
"mov rdi, [rbp+var_30]  | * | call __ZNSt3__16__sortIRNS_6__lessIiiEEPiEEvT0_S5_T_  ",xcode,1
"mov rsi, [rbp+var_38]  | * | lea rax, _v ",xcode,1
"call __ZNSt3__16__sortIRNS_6__lessIiiEEPiEEvT0_S5_T_   | * | movsxd rcx, [rbp+var_7C] ",xcode,1
"movsxd rcx, [rbp+var_7C]  | * | mov rdx, rax ",xcode,1
"shl rcx, 2  | * | add rdx, rcx ",xcode,1
"mov rdx, rax  | * | mov [rbp+var_18], rax ",xcode,1
"add rdx, rcx  | * | mov [rbp+var_20], rdx ",xcode,1
"mov [rbp+var_18], rax  | * | mov rdi, [rbp+var_18] ",xcode,1
"mov [rbp+var_20], rdx  | * | mov rsi, [rbp+var_20] ",xcode,1
"mov rdi, [rbp+var_18]  | * | call j___ZNSt3__16uniqueIPiNS_10__equal_toIiiEEEET_S4_S4_T0_  ",xcode,1
"mov rsi, [rbp+var_20]  | * | lea rcx, _v ",xcode,1
"call j___ZNSt3__16uniqueIPiNS_10__equal_toIiiEEEET_S4_S4_T0_   | * | sub rax, rcx ",xcode,1
"lea rcx, _v  | * | sar rax, 2 ",xcode,1
"sub rax, rcx  | * | mov r8d, eax ",xcode,1
"sar rax, 2  | * | mov [rbp+var_7C], r8d ",xcode,1
"mov r8d, eax  | * | cmp [rbp+var_7C], 1 ",xcode,1
"mov [rbp+var_7C], r8d  | * | jle loc_100000AD4 ",xcode,1
"cmp [rbp+var_7C], 1  | * | mov eax, 2 ",xcode,1
"jle loc_100000AD4  | * | mov ecx, [rbp+var_7C] ",xcode,1
"mov eax, 2  | * | mov edx, [rbp+var_7C] ",xcode,1
"mov ecx, [rbp+var_7C]  | * | sub edx, 1 ",xcode,1
"mov edx, [rbp+var_7C]  | * | imul ecx, edx ",xcode,1
"sub edx, 1  | * | mov [rbp+var_8C], eax ",xcode,1
"imul ecx, edx  | * | mov eax, ecx ",xcode,1
