idiom,label,count
"mov [rbp+var_314], 0  | * | mov [rbp+var_31C], 1 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_380], rax ",xcode,1
"mov [rbp+var_31C], 1  | * | loc_100000FDC:  ",xcode,1
"mov [rbp+var_380], rax  | * | mov eax, [rbp+var_31C] ",xcode,1
"loc_100000FDC:   | * | cmp eax, [rbp+var_318] ",xcode,1
"mov eax, [rbp+var_31C]  | * | jg loc_100001B02 ",xcode,1
"cmp eax, [rbp+var_318]  | * | lea rdi, aDDD  ",xcode,1
"jg loc_100001B02  | * | lea rsi, _m ",xcode,1
"lea rdi, aDDD   | * | lea rdx, _f ",xcode,1
"lea rsi, _m  | * | lea rcx, _n ",xcode,1
"lea rdx, _f  | * | mov al, 0 ",xcode,1
"lea rcx, _n  | * | call _scanf ",xcode,1
"mov al, 0  | * | mov [rbp+var_320], 0 ",xcode,1
"call _scanf  | * | mov [rbp+var_384], eax ",xcode,1
"mov [rbp+var_320], 0  | * | loc_100001021:  ",xcode,1
"mov [rbp+var_384], eax  | * | mov eax, [rbp+var_320] ",xcode,1
"loc_100001021:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_320]  | * | jge loc_100001205 ",xcode,1
"cmp eax, cs:_n  | * | lea rdi, aDD  ",xcode,1
"jge loc_100001205  | * | lea rax, _v ",xcode,1
"lea rdi, aDD   | * | movsxd rcx, [rbp+var_320] ",xcode,1
"lea rax, _v  | * | shl rcx, 3 ",xcode,2
"movsxd rcx, [rbp+var_320]  | * | mov rdx, rax ",xcode,1
"shl rcx, 3  | * | add rdx, rcx ",xcode,1
"mov rdx, rax  | * | add rdx, 4 ",xcode,1
"add rdx, rcx  | * | movsxd rcx, [rbp+var_320] ",xcode,1
"add rdx, 4  | * | shl rcx, 3 ",xcode,1
"movsxd rcx, [rbp+var_320]  | * | add rax, rcx ",xcode,1
"shl rcx, 3  | * | mov rsi, rdx ",xcode,1
"add rax, rcx  | * | mov rdx, rax ",xcode,1
"mov rsi, rdx  | * | mov al, 0 ",xcode,1
"mov rdx, rax  | * | call _scanf ",xcode,1
"mov al, 0  | * | lea rdi, [rbp+var_2C8] ",xcode,1
"call _scanf  | * | lea rcx, [rbp+var_328] ",xcode,1
"lea rdi, [rbp+var_2C8]  | * | lea rdx, _all ",xcode,1
"lea rcx, [rbp+var_328]  | * | lea rsi, [rbp+var_310] ",xcode,1
"lea rdx, _all  | * | lea r8, [rbp+var_30C] ",xcode,1
"lea rsi, [rbp+var_310]  | * | lea r9, _v ",xcode,1
"lea r8, [rbp+var_30C]  | * | movsxd r10, [rbp+var_320] ",xcode,1
"lea r9, _v  | * | mov r11d, [r9+r10*8+4] ",xcode,1
"movsxd r10, [rbp+var_320]  | * | movsxd r10, [rbp+var_320] ",xcode,1
"mov r11d, [r9+r10*8+4]  | * | mov ebx, [r9+r10*8] ",xcode,1
"movsxd r10, [rbp+var_320]  | * | mov [rbp+var_30C], r11d ",xcode,1
"mov ebx, [r9+r10*8]  | * | mov [rbp+var_310], ebx ",xcode,1
"mov [rbp+var_30C], r11d  | * | mov [rbp+var_2F8], rcx ",xcode,1
"mov [rbp+var_310], ebx  | * | mov [rbp+var_300], r8 ",xcode,1
"mov [rbp+var_2F8], rcx  | * | mov [rbp+var_308], rsi ",xcode,1
"mov [rbp+var_300], r8  | * | mov rsi, [rbp+var_2F8] ",xcode,1
"mov [rbp+var_308], rsi  | * | mov r8, [rbp+var_300] ",xcode,1
"mov rsi, [rbp+var_2F8]  | * | mov r9, [rbp+var_308] ",xcode,1
"mov r8, [rbp+var_300]  | * | mov [rbp+var_2E0], rsi ",xcode,1
"mov r9, [rbp+var_308]  | * | mov [rbp+var_2E8], r8 ",xcode,1
"mov [rbp+var_2E0], rsi  | * | mov [rbp+var_2F0], r9 ",xcode,1
"mov [rbp+var_2E8], r8  | * | mov rsi, [rbp+var_2E0] ",xcode,1
"mov [rbp+var_2F0], r9  | * | mov r8, [rbp+var_2E8] ",xcode,1
"mov rsi, [rbp+var_2E0]  | * | mov r11d, [r8] ",xcode,1
"mov r8, [rbp+var_2E8]  | * | mov [rsi], r11d ",xcode,1
"mov r11d, [r8]  | * | mov r8, [rbp+var_2F0] ",xcode,1
"mov [rsi], r11d  | * | mov r11d, [r8] ",xcode,1
"mov r8, [rbp+var_2F0]  | * | mov [rsi+4], r11d ",xcode,1
"mov r11d, [r8]  | * | mov [rbp+var_2B0], rdx ",xcode,1
"mov [rsi+4], r11d  | * | mov [rbp+var_2B8], rcx ",xcode,1
"mov [rbp+var_2B0], rdx  | * | mov rsi, [rbp+var_2B0] ",xcode,1
"mov [rbp+var_2B8], rcx  | * | mov rdx, [rbp+var_2B8] ",xcode,1
"mov rsi, [rbp+var_2B0]  | * | mov [rbp+var_388], eax ",xcode,1
"mov rdx, [rbp+var_2B8]  | * | call j___ZNSt3__16__treeINS_4pairIiiEENS_4lessIS2_EENS_9allocatorIS2_EEE15__insert_uniqueERKS2_  ",xcode,1
"mov [rbp+var_388], eax  | * | lea rcx, [rbp+var_2C8] ",xcode,1
"call j___ZNSt3__16__treeINS_4pairIiiEENS_4lessIS2_EENS_9allocatorIS2_EEE15__insert_uniqueERKS2_   | * | lea rdx, [rbp+var_338] ",xcode,1
"lea rcx, [rbp+var_2C8]  | * | mov [rbp+var_2A0], rdx ",xcode,1
"lea rdx, [rbp+var_338]  | * | mov [rbp+var_2A8], rcx ",xcode,1
"mov [rbp+var_2A0], rdx  | * | mov rcx, [rbp+var_2A0] ",xcode,2
"mov [rbp+var_2A8], rcx  | * | mov rdx, [rbp+var_2A8] ",xcode,1
"mov rcx, [rbp+var_2A0]  | * | mov [rbp+var_288], rcx ",xcode,2
"mov rdx, [rbp+var_2A8]  | * | mov [rbp+var_290], rdx ",xcode,2
"mov [rbp+var_288], rcx  | * | mov rcx, [rbp+var_288] ",xcode,2
"mov [rbp+var_290], rdx  | * | mov rdx, [rbp+var_290] ",xcode,1
"mov rcx, [rbp+var_288]  | * | mov rdx, [rdx] ",xcode,1
"mov rdx, [rbp+var_290]  | * | mov [rbp+var_298], rdx ",xcode,1
"mov rdx, [rdx]  | * | mov rdx, [rbp+var_298] ",xcode,1
"mov [rbp+var_298], rdx  | * | mov [rbp+var_278], rcx ",xcode,1
"mov rdx, [rbp+var_298]  | * | mov [rbp+var_280], rdx ",xcode,2
"mov [rbp+var_278], rcx  | * | mov rdx, [rbp+var_278] ",xcode,1
"mov [rbp+var_280], rdx  | * | mov rsi, [rbp+var_280] ",xcode,1
"mov rdx, [rbp+var_278]  | * | mov [rbp+var_268], rdx ",xcode,1
"mov rsi, [rbp+var_280]  | * | mov [rbp+var_270], rsi ",xcode,1
"mov [rbp+var_268], rdx  | * | mov rdx, [rbp+var_268] ",xcode,1
"mov [rbp+var_270], rsi  | * | mov rsi, [rbp+var_270] ",xcode,1
"mov rdx, [rbp+var_268]  | * | mov [rdx], rsi ",xcode,1
"mov rsi, [rbp+var_270]  | * | mov rdx, [rbp+var_290] ",xcode,1
"mov [rdx], rsi  | * | mov r14b, [rdx+8] ",xcode,1
"mov rdx, [rbp+var_290]  | * | and r14b, 1 ",xcode,1
"mov r14b, [rdx+8]  | * | mov [rcx+8], r14b ",xcode,1
"and r14b, 1  | * | mov eax, [rbp+var_320] ",xcode,1
"mov [rcx+8], r14b  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_320]  | * | mov [rbp+var_320], eax ",xcode,1
"add eax, 1  | * | jmp loc_100001021 ",xcode,1
"mov [rbp+var_320], eax  | * | loc_100001205:  ",xcode,1
"jmp loc_100001021  | * | lea rdx, [rbp+var_248] ",xcode,1
"loc_100001205:   | * | lea rax, _v ",xcode,1
"lea rdx, [rbp+var_248]  | * | movsxd rcx, cs:_n ",xcode,1
"movsxd rcx, cs:_n  | * | mov rsi, rax ",xcode,1
"shl rcx, 3  | * | add rsi, rcx ",xcode,1
"mov rsi, rax  | * | mov [rbp+var_250], rax ",xcode,1
"add rsi, rcx  | * | mov [rbp+var_258], rsi ",xcode,1
"mov [rbp+var_250], rax  | * | mov rax, [rbp+var_250] ",xcode,1
"mov [rbp+var_258], rsi  | * | mov rcx, [rbp+var_258] ",xcode,1
"mov rax, [rbp+var_250]  | * | mov [rbp+var_238], rax ",xcode,1
"mov rcx, [rbp+var_258]  | * | mov [rbp+var_240], rcx ",xcode,1
"mov [rbp+var_238], rax  | * | mov rdi, [rbp+var_238] ",xcode,1
"mov [rbp+var_240], rcx  | * | mov rsi, [rbp+var_240] ",xcode,1
"mov rdi, [rbp+var_238]  | * | call j___ZNSt3__16__sortIRNS_6__lessINS_4pairIiiEES3_EEPS3_EEvT0_S7_T_  ",xcode,1
"mov rsi, [rbp+var_240]  | * | mov r8d, cs:_f ",xcode,1
"call j___ZNSt3__16__sortIRNS_6__lessINS_4pairIiiEES3_EEPS3_EEvT0_S7_T_   | * | mov [rbp+var_33C], r8d ",xcode,1
"mov r8d, cs:_f  | * | mov [rbp+var_340], 0 ",xcode,1
"mov [rbp+var_33C], r8d  | * | mov [rbp+var_344], 0 ",xcode,1
"mov [rbp+var_340], 0  | * | loc_100001283:  ",xcode,1
"mov [rbp+var_344], 0  | * | mov eax, [rbp+var_344] ",xcode,1
"loc_100001283:   | * | cmp eax, cs:_m ",xcode,1
"mov eax, [rbp+var_344]  | * | jg loc_100001614 ",xcode,1
"cmp eax, cs:_m  | * | lea rax, _all ",xcode,1
"jg loc_100001614  | * | mov ecx, cs:_m ",xcode,1
"lea rax, _all  | * | add ecx, 1 ",xcode,1
"mov ecx, cs:_m  | * | mov [rbp+var_348], ecx ",xcode,1
"add ecx, 1  | * | mov [rbp+var_230], rax ",xcode,1
"mov [rbp+var_348], ecx  | * | mov rax, [rbp+var_230] ",xcode,1
"mov [rbp+var_230], rax  | * | mov [rbp+var_228], rax ",xcode,1
"mov rax, [rbp+var_230]  | * | mov rax, [rbp+var_228] ",xcode,1
"mov [rbp+var_228], rax  | * | add rax, 10h ",xcode,1
"mov rax, [rbp+var_228]  | * | mov [rbp+var_220], rax ",xcode,1
"add rax, 10h  | * | mov rax, [rbp+var_220] ",xcode,1
