idiom,label,count
"mov rcx, [rbp+var_20]  | * | mov rcx, [rbp+var_18] ",xcode,2
"mov [rbp+var_18], rcx  | * | mov edi, [rcx] ",xcode,1
"mov rcx, [rbp+var_18]  | * | mov [rbp+var_2C], edi ",xcode,1
"mov edi, [rcx]  | * | mov rcx, [rbp+var_28] ",xcode,1
"mov [rbp+var_2C], edi  | * | mov [rbp+var_8], rcx ",xcode,1
"mov rcx, [rbp+var_28]  | * | mov rcx, [rbp+var_8] ",xcode,1
"mov [rbp+var_8], rcx  | * | mov edi, [rcx] ",xcode,1
"mov rcx, [rbp+var_8]  | * | mov rcx, [rbp+var_20] ",xcode,1
"mov edi, [rcx]  | * | mov [rcx], edi ",xcode,1
"mov rcx, [rbp+var_20]  | * | mov [rbp+var_10], rax ",xcode,1
"mov [rcx], edi  | * | mov rax, [rbp+var_10] ",xcode,1
"mov [rbp+var_10], rax  | * | mov edi, [rax] ",xcode,1
"mov rax, [rbp+var_10]  | * | mov rax, [rbp+var_28] ",xcode,1
"mov edi, [rax]  | * | mov [rax], edi ",xcode,1
"mov rax, [rbp+var_28]  | * | loc_1000008FB:  ",xcode,1
"mov [rax], edi  | * | jmp $+5 ",xcode,1
loc_1000008FB:   | * | loc_100000900:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_38] ",xcode,1
"loc_100000900:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_38]  | * | mov [rbp+var_38], eax ",xcode,1
"add eax, 1  | * | jmp loc_10000084C ",xcode,1
"mov [rbp+var_38], eax  | * | loc_100000910:  ",xcode,1
jmp loc_10000084C  | * | jmp $+5 ,xcode,1
loc_100000910:   | * | loc_100000915:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_34] ",xcode,1
"loc_100000915:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_34]  | * | mov [rbp+var_34], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000836 ",xcode,1
"mov [rbp+var_34], eax  | * | loc_100000925:  ",xcode,1
"jmp loc_100000836  | * | mov [rbp+var_3C], 0 ",xcode,1
loc_100000925:   | * | loc_10000092C:  ,xcode,1
"mov [rbp+var_3C], 0  | * | mov eax, [rbp+var_3C] ",xcode,1
"loc_10000092C:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_3C]  | * | jge loc_10000096A ",xcode,1
"cmp eax, cs:_n  | * | lea rdi, aD_0  ",xcode,1
"jge loc_10000096A  | * | lea rax, _a ",xcode,1
"lea rdi, aD_0   | * | movsxd rcx, [rbp+var_3C] ",xcode,1
"lea rax, _a  | * | mov esi, [rax+rcx*4] ",xcode,1
"movsxd rcx, [rbp+var_3C]  | * | mov al, 0 ",xcode,1
"mov esi, [rax+rcx*4]  | * | call _printf ",xcode,1
"mov al, 0  | * | mov [rbp+var_40], eax ",xcode,1
"call _printf  | * | mov eax, [rbp+var_3C] ",xcode,1
"mov [rbp+var_40], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_3C]  | * | mov [rbp+var_3C], eax ",xcode,1
"add eax, 1  | * | jmp loc_10000092C ",xcode,1
"mov [rbp+var_3C], eax  | * | loc_10000096A:  ",xcode,1
"jmp loc_10000092C  | * | lea rdi, byte_100001F33  ",xcode,1
loc_10000096A:   | * | call _puts ,xcode,1
"lea rdi, byte_100001F33   | * | mov [rbp+var_44], eax ",xcode,1
"call _puts  | * | add rsp, 50h ",xcode,1
"mov [rbp+var_44], eax  | * | pop rbp ",xcode,1
"add rsp, 50h  | * | retn ",xcode,1
pop rbp  | * | __Z5solvev endp ,xcode,1
retn  | * | align 20h ,xcode,1
__Z5solvev endp  | * | public _main ,xcode,1
align 20h  | * | _main proc near ,xcode,1
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,3
var_5C = dword ptr -5Ch  | * | var_4C = dword ptr -4Ch ,data,1
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,2
var_4C = dword ptr -4Ch  | * | var_40 = qword ptr -40h ,data,1
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,3
var_40 = qword ptr -40h  | * | var_2C = dword ptr -2Ch ,data,1
var_38 = qword ptr -38h  | * | var_28 = dword ptr -28h ,data,1
var_2C = dword ptr -2Ch  | * | var_24 = dword ptr -24h ,data,1
var_28 = dword ptr -28h  | * | var_20 = qword ptr -20h ,data,1
var_24 = dword ptr -24h  | * | var_18 = qword ptr -18h ,data,1
"push rbp  | * | sub rsp, 70h ",xcode,1
"sub rsp, 70h  | * | lea rsi, [rbp+var_28] ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | mov [rbp+var_24], 0 ",xcode,1
"lea rsi, [rbp+var_28]  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
