idiom,label,count
"jge loc_100000E26  | * | mov [rbp+var_210], rax ",xcode,1
"mov rax, [rbp+var_80]  | * | jmp loc_100000E31 ",xcode,1
"mov [rbp+var_210], rax  | * | loc_100000E26:  ",xcode,1
"jmp loc_100000E31  | * | mov rax, [rbp+var_78] ",xcode,1
"loc_100000E26:   | * | mov [rbp+var_210], rax ",xcode,1
"mov rax, [rbp+var_78]  | * | loc_100000E31:  ",xcode,1
"mov [rbp+var_210], rax  | * | mov rax, [rbp+var_210] ",xcode,1
"loc_100000E31:   | * | lea rcx, [rbp+var_40] ",xcode,1
"mov rax, [rbp+var_210]  | * | lea rdx, [rbp+var_1F0] ",xcode,1
"lea rcx, [rbp+var_40]  | * | lea rsi, [rbp+var_1EC] ",xcode,1
"lea rdx, [rbp+var_1F0]  | * | lea rdi, _y8687969 ",xcode,1
"lea rsi, [rbp+var_1EC]  | * | mov r8d, [rax] ",xcode,1
"lea rdi, _y8687969  | * | mov [rbp+var_1DC], r8d ",xcode,1
"mov r8d, [rax]  | * | mov [rbp+var_1EC], 0 ",xcode,1
"mov [rbp+var_1DC], r8d  | * | movsxd rax, [rbp+var_1D8] ",xcode,1
"mov [rbp+var_1EC], 0  | * | mov r8d, [rdi+rax*4] ",xcode,1
"movsxd rax, [rbp+var_1D8]  | * | add r8d, [rbp+var_1CC] ",xcode,1
"mov r8d, [rdi+rax*4]  | * | mov [rbp+var_1F0], r8d ",xcode,1
"add r8d, [rbp+var_1CC]  | * | mov [rbp+var_48], rsi ",xcode,1
"mov [rbp+var_1F0], r8d  | * | mov [rbp+var_50], rdx ",xcode,1
"mov [rbp+var_48], rsi  | * | mov rax, [rbp+var_48] ",xcode,1
"mov [rbp+var_50], rdx  | * | mov rdx, [rbp+var_50] ",xcode,1
"mov rax, [rbp+var_48]  | * | mov [rbp+var_30], rax ",xcode,1
"mov rdx, [rbp+var_50]  | * | mov [rbp+var_38], rdx ",xcode,1
"mov [rbp+var_30], rax  | * | mov rax, [rbp+var_30] ",xcode,1
"mov [rbp+var_38], rdx  | * | mov rdx, [rbp+var_38] ",xcode,1
"mov rax, [rbp+var_30]  | * | mov [rbp+var_18], rcx ",xcode,1
"mov rdx, [rbp+var_38]  | * | mov [rbp+var_20], rax ",xcode,1
"mov [rbp+var_18], rcx  | * | mov [rbp+var_28], rdx ",xcode,1
"mov [rbp+var_20], rax  | * | mov rax, [rbp+var_20] ",xcode,2
"mov [rbp+var_28], rdx  | * | mov r8d, [rax] ",xcode,1
"mov rax, [rbp+var_20]  | * | mov rax, [rbp+var_28] ",xcode,1
"mov rax, [rbp+var_28]  | * | jge loc_100000ECE ",xcode,1
"cmp r8d, [rax]  | * | mov rax, [rbp+var_38] ",xcode,1
"jge loc_100000ECE  | * | mov [rbp+var_218], rax ",xcode,1
"mov rax, [rbp+var_38]  | * | jmp loc_100000ED9 ",xcode,1
"mov [rbp+var_218], rax  | * | loc_100000ECE:  ",xcode,1
"jmp loc_100000ED9  | * | mov rax, [rbp+var_30] ",xcode,1
"loc_100000ECE:   | * | mov [rbp+var_218], rax ",xcode,1
"mov rax, [rbp+var_30]  | * | loc_100000ED9:  ",xcode,1
"mov [rbp+var_218], rax  | * | mov rax, [rbp+var_218] ",xcode,1
"loc_100000ED9:   | * | mov ecx, [rax] ",xcode,1
"mov rax, [rbp+var_218]  | * | mov [rbp+var_1E8], ecx ",xcode,1
"mov ecx, [rax]  | * | mov ecx, [rbp+var_1DC] ",xcode,1
"mov [rbp+var_1E8], ecx  | * | cmp ecx, cs:_w ",xcode,1
"mov ecx, [rbp+var_1DC]  | * | jg loc_100000FFE ",xcode,1
"cmp ecx, cs:_w  | * | mov eax, [rbp+var_1E8] ",xcode,1
"jg loc_100000FFE  | * | cmp eax, cs:_h ",xcode,1
"mov eax, [rbp+var_1E8]  | * | jg loc_100000FFE ",xcode,1
"cmp eax, cs:_h  | * | lea rax, _y2 ",xcode,1
"jg loc_100000FFE  | * | mov ecx, [rbp+var_1E8] ",xcode,1
"lea rax, _y2  | * | add ecx, [rbp+var_1CC] ",xcode,1
"mov ecx, [rbp+var_1E8]  | * | movsxd rdx, [rbp+var_1D8] ",xcode,1
"add ecx, [rbp+var_1CC]  | * | cmp ecx, [rax+rdx*4] ",xcode,1
"movsxd rdx, [rbp+var_1D8]  | * | jg loc_100000FFE ",xcode,1
"cmp ecx, [rax+rdx*4]  | * | lea rax, _y2 ",xcode,1
"jg loc_100000FFE  | * | lea rcx, _y8687969 ",xcode,1
"lea rax, _y2  | * | lea rdx, _x ",xcode,1
"lea rcx, _y8687969  | * | lea rsi, _ry ",xcode,1
"lea rdx, _x  | * | lea rdi, _rx ",xcode,1
"lea rsi, _ry  | * | mov r8d, [rbp+var_1DC] ",xcode,1
"lea rdi, _rx  | * | movsxd r9, [rbp+var_1D0] ",xcode,1
"mov r8d, [rbp+var_1DC]  | * | mov [rdi+r9*4], r8d ",xcode,1
"movsxd r9, [rbp+var_1D0]  | * | mov r8d, [rbp+var_1E8] ",xcode,1
"mov [rdi+r9*4], r8d  | * | movsxd rdi, [rbp+var_1D0] ",xcode,1
"mov r8d, [rbp+var_1E8]  | * | mov [rsi+rdi*4], r8d ",xcode,1
"movsxd rdi, [rbp+var_1D0]  | * | mov r8d, [rbp+var_1E8] ",xcode,1
"mov [rsi+rdi*4], r8d  | * | add r8d, [rbp+var_1CC] ",xcode,1
"mov r8d, [rbp+var_1E8]  | * | movsxd rsi, [rbp+var_1D8] ",xcode,1
"add r8d, [rbp+var_1CC]  | * | mov [rcx+rsi*4], r8d ",xcode,1
"movsxd rsi, [rbp+var_1D8]  | * | mov r8d, [rbp+var_1DC] ",xcode,1
"mov [rcx+rsi*4], r8d  | * | add r8d, [rbp+var_1CC] ",xcode,1
"mov r8d, [rbp+var_1DC]  | * | movsxd rsi, [rbp+var_1C4] ",xcode,1
"add r8d, [rbp+var_1CC]  | * | mov [rdx+rsi*4], r8d ",xcode,1
"movsxd rsi, [rbp+var_1C4]  | * | mov r8d, [rbp+var_1E8] ",xcode,1
"mov [rdx+rsi*4], r8d  | * | sub r8d, [rbp+var_1CC] ",xcode,1
"mov r8d, [rbp+var_1E8]  | * | movsxd rdx, [rbp+var_1C4] ",xcode,1
"sub r8d, [rbp+var_1CC]  | * | mov [rcx+rdx*4], r8d ",xcode,1
"movsxd rdx, [rbp+var_1C4]  | * | mov r8d, [rbp+var_1E8] ",xcode,1
"mov [rcx+rdx*4], r8d  | * | add r8d, [rbp+var_1CC] ",xcode,1
"mov r8d, [rbp+var_1E8]  | * | movsxd rcx, [rbp+var_1C4] ",xcode,1
"add r8d, [rbp+var_1CC]  | * | mov [rax+rcx*4], r8d ",xcode,1
"movsxd rcx, [rbp+var_1C4]  | * | mov r8d, [rbp+var_1C4] ",xcode,1
"mov [rax+rcx*4], r8d  | * | add r8d, 1 ",xcode,1
"mov r8d, [rbp+var_1C4]  | * | mov [rbp+var_1C4], r8d ",xcode,1
"add r8d, 1  | * | mov [rbp+var_1D4], 1 ",xcode,1
"mov [rbp+var_1C4], r8d  | * | jmp loc_100001019 ",xcode,1
