idiom,label,count
"mov [rbp+var_58], rsi  | * | mov rdi, [rbp+var_50] ",xcode,1
"call _strlen  | * | mov rsi, [rbp+var_58] ",xcode,1
"mov rdi, [rbp+var_50]  | * | mov rdx, rax ",xcode,1
"mov rsi, [rbp+var_58]  | * | call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6__initEPKcm  ",xcode,1
"mov rdx, rax  | * | mov rax, cs:__ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEED1Ev_ptr ",xcode,1
"call __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6__initEPKcm   | * | lea rcx, __ZL3res  ",xcode,1
"mov rax, cs:__ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEED1Ev_ptr  | * | lea rdx, __mh_execute_header  ",xcode,1
"lea rcx, __ZL3res   | * | mov rdi, rax  ",xcode,1
"lea rdx, __mh_execute_header   | * | mov rsi, rcx  ",xcode,1
"mov rdi, rax   | * | call ___cxa_atexit ",xcode,1
"mov rsi, rcx   | * | mov [rbp+var_5C], eax ",xcode,1
"call ___cxa_atexit  | * | add rsp, 60h ",xcode,1
"mov [rbp+var_5C], eax  | * | pop rbp ",xcode,1
"add rsp, 60h  | * | retn ",xcode,1
pop rbp  | * | ___cxx_global_var_init endp ,xcode,1
retn  | * | align 10h ,xcode,1
___cxx_global_var_init endp  | * | public __GLOBAL__I_a ,xcode,1
align 10h  | * | __GLOBAL__I_a proc near  ,xcode,1
public __GLOBAL__I_a  | * | push rbp ,xcode,1
"__GLOBAL__I_a proc near   | * | mov rbp, rsp ",xcode,1
push rbp  | * | call ___cxx_global_var_init ,xcode,1
"mov rbp, rsp  | * | pop rbp ",xcode,1
call ___cxx_global_var_init  | * | retn ,xcode,1
pop rbp  | * | __GLOBAL__I_a endp ,xcode,1
retn  | * | __text ends ,xcode,1
